Name,Description,Muscles,VideoLink
Assisted Dip,"Assisted dips are a bodyweight exercise for the triceps, chest, and shoulders. ","Chest, Front Deltoid, ",https://www.youtube.com/watch?v=kbmVlw-i0Vs
Assisted Bench Press,The smith machine bench press is the assisted equivalent of a barbell bench press,,https://www.youtube.com/watch?v=7FyJdsXeta8
Bar Dips,Parallel bar dips are an advanced variation of the tricep dip exercise on a bench or elevated surface,,https://youtu.be/lQZD-fauVmU?si=w8YzO4DgOee3Q9ln
Bench Press,a bodybuilding and weightlifting exercise in which a lifter lies on a bench with the feet on the floor and raises a weight with both arms.,,https://www.youtube.com/watch?v=_EtwJJSLfMc
Bench Press against band,a variation of the bench press in which resistance bands increase the tension as you press up.,,https://www.youtube.com/watch?v=CJ1T2EU8Kvs
Borad Press,two 12 inch 2ª4's stacked on top of each other placed on your chest during a bench pres,,https://www.youtube.com/watch?v=jkl7HhGwAPs
Cable Chest Press, an exercise that isolates the chest,,https://www.youtube.com/watch?v=sh92B-_2O48
Close-Grip Bench press,you perform the press with a narrower grip,,https://www.youtube.com/watch?v=cXbSJHtjrQQ
Close-Grip Feet-Up Bench Press,"a variant of the bench press where you transfer more of the work to the triceps, and away from the chest and front deltoid",,https://www.youtube.com/watch?v=W6l_uJw303k
Decline Bench Press,"a variation of the flat bench press, a popular chest workout",,https://www.youtube.com/watch?v=Y2cJyPG_2VY
Decline Push-Ups,a variation of the basic pushup.,,https://www.youtube.com/watch?v=SKPab2YC8BE
